FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,EURO_LABOUR_STATUS,Condizione lavorativa europea,Y_STUDENT,Studente,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,NOT,Non cercano e non disponibili,9,Totale,2018,1283,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,NOT,Non cercano e non disponibili,9,Totale,2019,1277,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,NOT,Non cercano e non disponibili,9,Totale,2020,1289,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,NOT,Non cercano e non disponibili,9,Totale,2021,1296,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,NOT,Non cercano e non disponibili,9,Totale,2022,1305,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,NOT,Non cercano e non disponibili,9,Totale,2023,1301,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,NOT,Non cercano e non disponibili,9,Totale,2024,1319,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,NOT,Non cercano e non disponibili,9,Totale,2025,1373,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOT,Totale,0,No,2018,243,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOT,Totale,0,No,2019,238,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOT,Totale,0,No,2020,222,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOT,Totale,0,No,2021,263,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOT,Totale,0,No,2022,229,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOT,Totale,0,No,2023,183,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOT,Totale,0,No,2024,178,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOT,Totale,0,No,2025,129,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOT,Totale,1,Si,2018,1241,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOT,Totale,1,Si,2019,1238,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOT,Totale,1,Si,2020,1249,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOT,Totale,1,Si,2021,1204,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOT,Totale,1,Si,2022,1246,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOT,Totale,1,Si,2023,1304,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOT,Totale,1,Si,2024,1319,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOT,Totale,1,Si,2025,1376,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOT,Totale,9,Totale,2018,1484,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOT,Totale,9,Totale,2019,1476,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOT,Totale,9,Totale,2020,1471,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOT,Totale,9,Totale,2021,1467,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOT,Totale,9,Totale,2022,1475,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOT,Totale,9,Totale,2023,1487,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,TOT,Totale,9,Totale,2024,1496,,
