territorio,sesso,fascia_eta,condizione_lavorativa,status_studente,anno,valore_migliaia
Italia,Maschi,15-24 anni,Occupati,Totale,2021,635
Italia,Maschi,15-24 anni,Occupati,Totale,2022,700
Italia,Maschi,15-24 anni,Occupati,Totale,2023,728
Italia,Maschi,15-24 anni,Occupati,Totale,2024,724
Italia,Maschi,15-24 anni,Occupati,Totale,2025,644
Italia,Maschi,15-24 anni,Disoccupati,No,2018,255
Italia,Maschi,15-24 anni,Disoccupati,No,2019,230
Italia,Maschi,15-24 anni,Disoccupati,No,2020,224
Italia,Maschi,15-24 anni,Disoccupati,No,2021,224
Italia,Maschi,15-24 anni,Disoccupati,No,2022,186
Italia,Maschi,15-24 anni,Disoccupati,No,2023,180
Italia,Maschi,15-24 anni,Disoccupati,No,2024,160
Italia,Maschi,15-24 anni,Disoccupati,No,2025,143
Italia,Maschi,15-24 anni,Disoccupati,Si,2018,16
Italia,Maschi,15-24 anni,Disoccupati,Si,2019,15
Italia,Maschi,15-24 anni,Disoccupati,Si,2020,15
Italia,Maschi,15-24 anni,Disoccupati,Si,2021,19
Italia,Maschi,15-24 anni,Disoccupati,Si,2022,14
Italia,Maschi,15-24 anni,Disoccupati,Si,2023,14
Italia,Maschi,15-24 anni,Disoccupati,Si,2024,12
Italia,Maschi,15-24 anni,Disoccupati,Si,2025,13
Italia,Maschi,15-24 anni,Disoccupati,Totale,2017,294
Italia,Maschi,15-24 anni,Disoccupati,Totale,2018,271
Italia,Maschi,15-24 anni,Disoccupati,Totale,2019,246
Italia,Maschi,15-24 anni,Disoccupati,Totale,2020,239
Italia,Maschi,15-24 anni,Disoccupati,Totale,2021,243
Italia,Maschi,15-24 anni,Disoccupati,Totale,2022,201
Italia,Maschi,15-24 anni,Disoccupati,Totale,2023,195
Italia,Maschi,15-24 anni,Disoccupati,Totale,2024,172
Italia,Maschi,15-24 anni,Disoccupati,Totale,2025,156
Italia,Maschi,15-24 anni,Totale inattivi,No,2018,349
Italia,Maschi,15-24 anni,Totale inattivi,No,2019,345
Italia,Maschi,15-24 anni,Totale inattivi,No,2020,371
Italia,Maschi,15-24 anni,Totale inattivi,No,2021,398
Italia,Maschi,15-24 anni,Totale inattivi,No,2022,339
Italia,Maschi,15-24 anni,Totale inattivi,No,2023,246
Italia,Maschi,15-24 anni,Totale inattivi,No,2024,238
Italia,Maschi,15-24 anni,Totale inattivi,No,2025,196
Italia,Maschi,15-24 anni,Totale inattivi,Si,2018,1758
Italia,Maschi,15-24 anni,Totale inattivi,Si,2019,1761
Italia,Maschi,15-24 anni,Totale inattivi,Si,2020,1770
Italia,Maschi,15-24 anni,Totale inattivi,Si,2021,1710
Italia,Maschi,15-24 anni,Totale inattivi,Si,2022,1751
Italia,Maschi,15-24 anni,Totale inattivi,Si,2023,1826
Italia,Maschi,15-24 anni,Totale inattivi,Si,2024,1881
Italia,Maschi,15-24 anni,Totale inattivi,Si,2025,2038
Italia,Maschi,15-24 anni,Totale inattivi,Totale,2017,2107
Italia,Maschi,15-24 anni,Totale inattivi,Totale,2018,2107
Italia,Maschi,15-24 anni,Totale inattivi,Totale,2019,2106
Italia,Maschi,15-24 anni,Totale inattivi,Totale,2020,2141
Italia,Maschi,15-24 anni,Totale inattivi,Totale,2021,2108
Italia,Maschi,15-24 anni,Totale inattivi,Totale,2022,2090
